Id,Discussion Category,Comment Text (Coding)
1,"Changes in what, how, when and where students learn?","I, too, found the Culture Builder to be one of the best articles in Unit 2. &nbsp;There were many outstanding one-liners in addition to the one you cited. &nbsp;For example:* &nbsp;Good schools have few ""non-discussables.""* &nbsp;Take moral outrage at ineffective practices.* &nbsp;The most important school mission: &nbsp;provide a culture hospitable to human learning and make it likely that students and teachers will become and remain lifelong learners.* &nbsp;School is a community where everyone learns and supports the learning of others.All of this is easier said than done, of course, but well worth saying nonetheless."
2,"Changes in what, how, when and where students learn?","Roland Barth was successful once again in making me think personally about how to make my school a better place where students learn. &nbsp;In his article Culture Builder (Ed Leadership, 2002) he opens with the assertion that an instructional leader's greatest challenge is to transform a toxic culture into a healthy culture. &nbsp;He further states that: ""All school cultures are incredibly resistant to change."" &nbsp;Did you catch the ""all"" in that statement? &nbsp;100% &nbsp;No exceptions. &nbsp;It made me think if my school was truly (incredibly) resistant to change. &nbsp;It likely is. &nbsp;Many of my staff has been at the building for double-digit in years. &nbsp;I am a relatively new on staff after six years in the building. &nbsp;Another claim Roland made was: ""The culture of a school is quite apparent to the newcomer."" &nbsp;With this in mind, I am going to ask the last two teachers hired to provide some feedback to me regarding the culture of our building. &nbsp;I look forward to hearing what they have to say.In wanting to connect this article to the challenges I foresee having in becoming a digital school - integrating 1-on-1 technology tools into the teaching of every student - it made me wonder about our culture in making this switch. &nbsp;I definitely don't think (but will ask my two new teachers) we currently have a toxic culture, but how resistant to change (including a digital change) would we be? &nbsp;How resistant would my teachers be to making changes in pedagogy? &nbsp; I believe our students are ready to learn differently - but is my staff?"
3,"Changes in what, how, when and where students learn?","I agree, Robert, that our students are ready to learn differently; our teachers not so much! &nbsp;I think part of the teacher fear is allowing students to be in control of the instruction in the classroom. &nbsp;Some of the new teachers are more eager to let students take full reign, but our veteran teachers are more reluctant to try something new and sometimes view technology/digital initiatives as one more thing to learn."
4,"Changes in what, how, when and where students learn?","It's very interesting to read each post and point of view. The culture within the school does weigh in all aspect of the learning community. Many times we get so used to our comfort zone and thus you get to hear the resilient "" ... but we have always done it this way!"" ... but it does take a really inspiring and strong leader to start making changes. Seasoned teachers need to hear and see by themselves that by learning &amp; implementing these new technologies will help them cut back, let's say on grading ... or by using a Google doc, they can edit or have students engage in peer editing.It is a ""one more thing to learn"" but it's imperative to let all know that it will pay off in the long run. The 1st year will indeed be overwhelming but from the 2nd year on, changes will be less and easier to cope with. ... my 2 cents!"
5,"Changes in what, how, when and where students learn?","I work at a small, alternative school in VT that serves an at-risk population of students. We have a 1-to-1 laptop program in place, but are frequently having major issues with distractions. We have a firewall in place, but are still having incidents with students finding ways to access inappropriate material and engaging in cyber-bullying. We use interactive programs to personalize education, but laptops themselves do not magically get students ""interested"" in learning. We have a great student to teacher ratio (1:5), but are constantly having to redirect students as most of them are not interested in using their laptops for anything more than music videos and gaming. We use interactive games, video presentations, and virtual experiments to make things more interesting and kinesthetic - but once students realize that they will still need to think, type, read, and create - they go back to shirking responsibility and using technology to combat learning rather than to enhance it.These case studies are cute, but this really seems to be more of the same ivory-tower talk that persuaded me to leave grad school and get involved directly in public education. Laptops are amazing, particularly for students with some computer saavy and a genuine desire to learn and succeed. Most of our students end up at our school because they have not shown this. How does this program help me reach them?&nbsp;"
6,"Changes in what, how, when and where students learn?","Our District has already implemented 1:1 computing initiative since 2010.&nbsp;We have been selected as a Project Red Signature District and are receiving support from their management them. &nbsp;In our middle school, every teacher and student have Chromebooks.&nbsp;Our District has also increase mandatory professional development to train teachers on how to effectively use technology, software programs, websites, tools, etc.... to enhance student learning. &nbsp;It is too early to detect any major results, but there are minute changes in students' willingness to learn through technology."
7,"Changes in what, how, when and where students learn?","Student learning opportunities have been&nbsp;provided more for&nbsp; middle and high schools students/staff.&nbsp; Since there is only one middle and high school in my district,&nbsp;only select students and classes have access to laptops/software programs.&nbsp; I&nbsp;would like to &nbsp;suggest senior projects to district administration, staff, tech support staff and teachers&nbsp;which can &nbsp;include software programs to be utilized with the elementary students.&nbsp;"
8,"Changes in what, how, when and where students learn?","For two years we did a 1:1 program with netbooks computers as well as using Google Apps for Education. During the time of our 1:1 program students and staff were pleased with the increase in their communication. Students had access to resources outside of the school day as well as an ability to connect with their teachers for more assistance and guidance. This year we have changed our route a bit and have gone to a BYOD program that we supplement with Chromebooks in the classroom. Students and staff still have the expanded learning opportunities since we still use GAFE, Edmodo, Moodle and other web based resources.&nbsp;<div>To continue to improve as we move down this road, professional development in the implementation of using these tools in and outside of the classroom needs to continue. Administration needs to support the need for this training for staff members and it needs to not be stand alone training but in collaboration with subject areas so teachers can see the seamless use of technology in their classroom and with their students.&nbsp;</div>"
9,"Changes in what, how, when and where students learn?","We have implemented a 1:1 program in grades 5, 6, 7, and 8 with student-owned iPads.&nbsp; I feel that we had a very strong start with a great deal of enthusiasm and momentum but that we have not truly ""cracked the code"" of student-initiated/driven learning that is possible with the many online resources that they now have access to.&nbsp; I plan to work more closely with the lead teachers to identify resources and instructional approaches that will allow for more student-generated learning/project-based learning.<br>"
10,"Changes in what, how, when and where students learn?",That's too good that you have taken initiative to implement 1:1 computing. Please share how you managed to provide Chromebooks to each student.<br>
11,"Changes in what, how, when and where students learn?","We are working on implementing a 1:1 program, but are still in the beginning stages of the process.&nbsp; This year was the first year students were allowed to bring their electronic devices into the buildings without them being confiscated.&nbsp; I am an advocate for BYOD and think we could use them as instructional tools instead of viewing them as a hindrance. <br>"
12,"Changes in what, how, when and where students learn?",At our high school we are using this school year for teachers to learn how to post their lessons and materials on Moodle with the expectation that next school year that students can find the coursework they are missing there at home or when they are in one of our ed labs. &nbsp
13,"Changes in what, how, when and where students learn?","Our students at the high school (we have one) can bring devices, if their teacher permits them in the classroom.&nbsp; Many of the teachers don't know how to work with BYOD.&nbsp; I would like to see our district expand with the use of BYOD so students, and teachers, can feel comfortable accessing technology.&nbsp; I would like teachers to feel comfortable in a student-centered environment, knowing how they can best assist their students.<br>"
14,"Changes in what, how, when and where students learn?","We have implemented BYOD at our high school as well, with teacher permission. &nbsp;The primary impact has been that students have access to the digital tools that they use outside of school. &nbsp;A very telling statement came out early in our planning process when a teacher commented that a student had asked permission to add an assignment to the calendar on their phone. &nbsp;We also have a large ESL population so the translation tools have been very useful. &nbsp;A big concern of ours was equity so our policy states that if a teacher is planning a lesson that incorporates technology, they need to have school technology available. &nbsp;Another benefit of BYOD has been the expansion of our technology as well as ""just in time"" learning. &nbsp;We implemented Google Apps several years ago and that is becoming used more widely. &nbsp;We are also implementing MyBigCampus, a learning management system that comes with our Lightspeed Filter. &nbsp;With our Transforming Classrooms project, we are striving to move to a more student-centered environment."
15,"Changes in what, how, when and where students learn?","When we talk about expending students' learning through technology,&nbsp;we&nbsp;are considering mostly those &nbsp;students who are already in a school situation. Whereas, in the third world scenario, there is a vast majority of children who cannot&nbsp; go to a school for many reasons. The amazing factor is the enormous use of technology, like cellphones, in these countries, . A family may not have enough to pay the rent but each member seems to own a cellphone. This situation can be manipulated to enhance education and learning to even those who do not attend a school."
16,"Changes in what, how, when and where students learn?",I fell BYOD is our future. &nbsp
17,"Changes in what, how, when and where students learn?",I agree with Chrystalle. Students should be allowed to bring their electronic devices to the school. It is our job to plan and effectively use technology to facilitate 24/7 anytime anywhere learning and provide opportunities to the students for wider interactions to enhance their learning and positive learning outcomes.<br>
18,"Changes in what, how, when and where students learn?","We went 1:1 at an elementary school this year and teachers were very excited, but I think at this point in the year some are starting to feel overwhelmed. The instinct I am seeing from the overwhelmed teachers is to pull back the technology thinking that will solve the problem, but then the students don't like it. The teachers that understand when you let the students figure it out they will blow you away are the ones succeeding. I would like to see more teachers willing to let go of control in order for students to succeed in directing their learning. Without this, opportunities are missed."
19,"Changes in what, how, when and where students learn?","In September, 2013 the 1:1 computing initiative was implemented in my district grades 4-8. &nbsp;All students and classroom teachers received Chromebooks. &nbsp;The district is ramping up professional development opportunities in house for all instructional staff members."
20,"Changes in what, how, when and where students learn?","With some blended electives courses, we have been able to expand our offerings to middle school students AND give teachers an opportunity to teach a more specific passion (gardening, travel, etc.). &nbsp;This has worked well for us, as we have a 1:1 program in place. &nbsp;Students go to a study hall type of environment 4 days/week and meet face-to-face with the teacher 1 day a week."
21,"Changes in what, how, when and where students learn?",For all of the above teachers and admins who have or are implementing 1:1 and BYOD in their schools:&nbsp
22,"Changes in what, how, when and where students learn?",PD is very important to implement 1:1. It should be started before commencing 1:1 program. Appropriate IT resource should be provided to the schools. We may ask students to bring their tabs or note books to start the initiative. But what about teachers??? they may bring their own laptops or could be provided by the companies on easy installments if school give their guarantee as they have teachers' provident fund .
23,"Changes in what, how, when and where students learn?","Hi Jana,<div><br></div><div>Research shows that younger learners do not benefit from using technology due to them not distinguishing between what is real and not real. However, in just watching my grandchildren use technologies such as cell phones, tablets and laptops to play educational games there is a benefit for all learners no matter the age. I have to say it is the same for students that I taught at the early childhood to elementary level too. They are allowing middle schoolers to take online classes now too or plan to allow it in Southeast, GA. Perhaps, young learners should just have additional guidance or only have access to teacher directed technologies. That is the way it should be but teachers have to have a command of the technologies too. Moreover, they need to know what is appropriate for what age group.</div><div><br></div><div>I am posting in this area instead of A-L because I want to open a school up in an area that falls under these letters. They closed a head start down in one state. I wonder what that will do to the quality of learning for students there. Also, I did not see a lot of people here so I figured I would some dialogue.</div><div><br></div><div>Collette</div>"
24,"Changes in what, how, when and where students learn?","I think that the use of the proper technology tools will allow students to pursue projects that are more personalized to their interests. Through the use of rubrcis, I hope to allow my students to create their own topics, within certain parameters that allow students to still meet assessment and standard requirements. There is more up front work on the part of the teacher, but the work produced by the students si so much better since they have scope to pursue individual interests.<br>"
25,"Changes in what, how, when and where students learn?","<blockquote class=""Quote"">

<div class=""QuoteAuthor""><a href=""/dlt2/index.php?p=/profile/423/Paul%20Leslie"">Paul Leslie</a> said:</div>

<div class=""QuoteText"">I think that the use of the proper technology tools will allow students to pursue projects that are more personalized to their interests. Through the use of rubrcis, I hope to allow my students to create their own topics, within certain parameters that allow students to still meet assessment and standard requirements. There is more up front work on the part of the teacher, but the work produced by the students si so much better since they have scope to pursue individual interests.<br></div>

</blockquote>



Rubrics are key here. &nbsp;I remember reading an article from last unit that stated one student preferred to use the technology, where another preferred the pencil and paper. &nbsp;By using a rubric, both students could earn full credit based on the work they did even if they are completely different."
26,"Changes in what, how, when and where students learn?",Proper technology tools (which are age appropriate) can allow even the youngest student to experience their interests and open a potential wider interest in a chosen with guided direction.&nbsp
27,"Changes in what, how, when and where students learn?","In our district I think it is key to change with the age of technology for students to learn. &nbsp;Our students come from a place with constant social and media interaction. &nbsp;They feel that school is boring because of the way that teachers present the information. &nbsp;Students need to learn in a comfortable, friendly, safe environment. &nbsp;They want to learn things they experience and are interested in. &nbsp;Students want to use technology in order to learn all of these things. &nbsp;"
28,"Changes in what, how, when and where students learn?",How would you like to expand or have you expanded student learning opportunities?
29,"Changes in what, how, when and where students learn?","To begin we cannot

ignore the advances in digital technologies and the proven benefit that some

districts have achieved.&nbsp; Professor Phil

Levy of HEA recently stated, ﾓNo

institution can ignore current developments in learning and teaching

technologies and resources; with the developments in Open Educational Resources,

MOOCS, social media and mobile learning, among others, this is a really timely

moment for institutions and staff to embrace fully what they can offer.""

For public schools, there is such disparity in access, beliefs, and policy, we

must begin there to start the discussion about the opportunities all children

should have."
30,"Changes in what, how, when and where students learn?","To tell the truth, I think that all of the changes in technology and the new programs that seem to come out almost daily, it is really tough to figure out this challenge. &nbsp;I think it is very hard for school districts to know what to purchase. &nbsp;With budgets low and the economy in the tank, we need to try and figure out the best ways to spend our technology budgets.That being said, we also cannot stick our heads in the sand and ignore the need to keep up with the trends. &nbsp;We need to be open to change and willing to allow our students to learn through technology, which means they can be learning at home as well as at school.I'm not sure if I have answered this question adequately or not, but those are the thoughts that are running through my head at this time."
31,"Changes in what, how, when and where students learn?","A systematic approach to HOW we change the elements of student learning is best. &nbsp;I've been in education for nearly 20 years. &nbsp;Sometimes as a teacher I felt like only people who held power positions were making all of the decisions for me as a teacher in the classroom. &nbsp;Students never benefited from this approach, and neither did I! &nbsp;Thankfully, I am in a district (the same district, by the way) where the people who hold the power are ALL of us, and we have teams of stakeholders making decisions about how, when, where student learning takes place. &nbsp;District and building teams, teachers and support staff, parents and students; these groups are all represented in the learning outcomes decisions and goals. &nbsp;With the digital conversion in our district, and as my superintendent says, we are hiring a new kind of administrator and a new kind of teacher today that we would have hired even 5 years ago. &nbsp;We are looking for individuals who are already used to collaborating, communicating, using creativity and critical thinking skills. &nbsp;We want individuals who are focused on our goals and who are willing to take a systematic approach for how we can make improvements for student learning. &nbsp;As an aside, we are also hiring different IT staff. &nbsp;We want IT folks to do what they do best! &nbsp;We need them for digital transformation to be sustainable, but we also want to involve them in in the system. &nbsp;A suggestion was made by our 1:1 implementer to take the IT staff on a walk-through in the buildings once a month (at least) so that they can see the fruits of their labor and know what a real difference they are making in our student learning goals. &nbsp;It speaks volumes to their value in the process!"
32,"Changes in what, how, when and where students learn?","I'm not sure if we change how, when, and where students learn. Instead, we should look at how we encourage to use their surroundings and resources to learn. The students we teach have access. &nbsp;We should encourage the use of that access. &nbsp;A lot of these students that are coming in to the classroom have better connectivity that some school networks. &nbsp;I want to see schools and teachers embracing and allowing the students to use their technology to answer questions that arise in class. &nbsp;There should never be a moment where we ask students to find out at home and then share the next day. &nbsp;We live in an age of now and we should take advantage of that in our classrooms. &nbsp;"
33,"Changes in what, how, when and where students learn?","The first thing that many schools or school systems need to change is the culture. &nbsp;I have visited the Mooresville Graded District, and the culture of student support and teacher collaboration is palpable. &nbsp;Second, schools need to have teachers on board--way on board--before they roll out technology; so that teachers are intimidated neither by the technology nor by students who know more than they about the technology. &nbsp;Third, the school needs very robust wireless and wired networks with large bandwidth to the Internet.Finally, testing (at the state and district levels) must reflect the kind of learning we want to provide. &nbsp;Without testing changes, we are putting new wine into old wineskins; and everyone will be frustrated. &nbsp;Keen Gravely"
34,"Changes in what, how, when and where students learn?","

One challenge is changing the culture to one of collaboration, when many teachers are used to closing their doors and working independently. This has to be top down (Supt/administrators level) as well as throughout the entire school system but not just for technology- all decisions. We do an injustice to digital learning if we continually separate it out from curriculum, common core etc. rather than blending it in as a tool.Janna Elfrink said:

&nbsp; With the digital conversion in our district, and as my superintendent says, we are hiring a new kind of administrator and a new kind of teacher today that we would have hired even 5 years ago. &nbsp;We are looking for individuals who are already used to collaborating, communicating, using creativity and critical thinking skills. &nbsp;We want individuals who are focused on our goals and who are willing to take a systematic approach for how we can make improvements for student learning.&nbsp;"
35,"Changes in what, how, when and where students learn?","

Matt Barfield said:

I'm not sure if we change how, when, and where students learn. Instead, we should look at how we encourage to use their surroundings and resources to learn. The students we teach have access. &nbsp;We should encourage the use of that access. &nbsp;A lot of these students that are coming in to the classroom have better connectivity that some school networks. &nbsp;I want to see schools and teachers embracing and allowing the students to use their technology to answer questions that arise in class. &nbsp;There should never be a moment where we ask students to find out at home and then share the next day. &nbsp;We live in an age of now and we should take advantage of that in our classrooms. &nbsp;Matt, right on! That always on and right now is often available in schools and it's true, the resources are not being used. In my subject area, the access and the resources have to be used to get the learning delivered.&nbsp;





"
36,"Changes in what, how, when and where students learn?","Hi everyone. Sorry to jump in mid-week.I think this is an important question, but I'd like to add to it.&nbsp;WHY&nbsp;do we need to change how, when, and where students learn? I think it is vital to understand that yes, there is a need to change, but why is there a need for such a change. There is a lot of talk about ""personalized learning"". In my mind, learning IS personal and should always be personal. So the question is, what are we doing now (and why are we doing it) that is making it not personal? I think that is where we begin to really understand the&nbsp;WHY&nbsp;of this much needed change. And that's where our discussions move beyond the immediate implications of educational technology and into the longer lasting benefits.What do you think?"
37,"Changes in what, how, when and where students learn?","The educated person used to be the one who held the most knowledge in their head. &nbsp;As such, memorization defined intelligence. &nbsp;Yet, we now live in a world where anyone has access to all of the facts (not to mention all of the lies) on their phone. &nbsp;So education has transitioned from memorization to comprehension. &nbsp;Thankfully (in my opinion) the Common Core supports this change, focusing on critical thinking skills. &nbsp;Teachers need to follow this trend and think of themselves less as the purveyors of knowledge and more as facilitators of learning. &nbsp;-Spencer"
38,"Changes in what, how, when and where students learn?","It is clear that public education must change and change quickly, because students are already graduating into a digital world, where long-distance collaboration has been the standard for years. &nbsp;Apple's development of its glass iPhone screen is an example (Apple put out a worldwide bid for engineers to help find the way to cut the glass). &nbsp;My wife consults from home with clients in Raleigh, the UK and China. &nbsp;Especially for smaller cities looking for new industry, digitally trained and capable high-school graduates will be essential. &nbsp;Even the partial return of manufacturing to small businesses require a shift to computer capabilities."
39,"Changes in what, how, when and where students learn?","The question of what to buy is made easier by companies like Apple and examples like Mooresville Graded School District. &nbsp;Districts can combine their own vision with proposals from companies like Dell, HP, Lenovo, Samsung (chromebooks) and Apple. &nbsp;I think each company's pitch needs to be verified by school districts. &nbsp;The state of Maine has many years of experience, and it just moved from Apple to HP for equipment (http://www.kjonline.com/news/Maine-picks-school-laptop-contract-winner-.html?pagenum=full). &nbsp;Note the fascinating detail: ""Apple's 32-gigabyte iPad tablet, at $217 per device, was ranked both the cheapest and the highest-quality option recommended by the committee, whose members are from Maine, Hawaii and Vermont. The iPad scored the highest with 93 out of 100 points, while the HP ProBook earned 79 points, ranking fourth out of five.""That is an interesting choice. &nbsp;One article said the choice was influenced by the idea that students would be graduating into a business world dominated by Microsoft software. &nbsp;This observer notes that by the time 9th graders graduate the new Windows operating system will look entirely different, as will Office. &nbsp;Students adapt to new operating systems in, say, a long day, sometimes a short day. &nbsp;More important, in my view, is portability, battery life, and quality of equipment. &nbsp;The iPad is probably more like future computers than traditional laptops, as the new Microsoft surface portends."
40,"Changes in what, how, when and where students learn?","One thing that I think is changing and will change more for students is that they, increasingly, will own their own learning; they will have to in order to compete in the global market. &nbsp;We can encourage them in that direction. &nbsp; It is a cultural change for many students , who have been schooled in listening and regurgitating. &nbsp;Some teachers are the same way: they attend staff development, figure out what responses are expected and give them, maybe not getting to the place where they own their own learning needs. &nbsp;"
41,"Changes in what, how, when and where students learn?","At some point we have to remind ourselves how much is not really fundamentally changing- &nbsp;yes, the tools are different, the focus is changing from teacher-led to student-led, etc.. &nbsp;However; many of the digital learning models are either based on or an extension of learning theories that have been around for a long time. &nbsp;Revised Bloom's Taxonomy and learning domains, as well as Gardner's Theories of Multiple Intelligences come to mind. ""I hear and I forget. I see and I remember. I do and I understand."" This, attribituted to Confucius, has been around a while too.&nbsp;No doubt, revised Bloom's has resources and activities not imagined in the mid-1950's. &nbsp;The most exciting part about the changes though, come from the ways in which learners can now realize the upper levels. That realization is now the rule rather than the exception. &nbsp;For example, it seems that analysis, evaluation and creation activities in Bloom's are more commonplace in learning activities today as a result of the powerful analysis, evaluation, and creation tools that are now readily available in digital teaching &amp; learning resources. &nbsp;I don't mean to diminish the dramatically changing landscape at all. &nbsp;Rather, I think it's important to realize how many of these ""new"" resources are fundamental extensions of what has been right all along, just not as accessible to learners. &nbsp;"
42,"Changes in what, how, when and where students learn?","

Jeremy Macdonald said:

Hi everyone. Sorry to jump in mid-week.I think this is an important question, but I'd like to add to it.&nbsp;WHY&nbsp;do we need to change how, when, and where students learn? I think it is vital to understand that yes, there is a need to change, but why is there a need for such a change. There is a lot of talk about ""personalized learning"". In my mind, learning IS personal and should always be personal. So the question is, what are we doing now (and why are we doing it) that is making it not personal? I think that is where we begin to really understand the&nbsp;WHY&nbsp;of this much needed change. And that's where our discussions move beyond the immediate implications of educational technology and into the longer lasting benefits.What do you think?





I agree that we should not waste time in discussing personalizing learning. Students have always customized/personalized their own learning, regardless if they even knew that they did. That's why memorizing facts in the form of songs, or dances, or as a list or as an association to an object or place are all options for students. Fortunately, some teachers have taught students how to make those connections but many students already have those skills when they come to school.&nbsp;"
43,"Changes in what, how, when and where students learn?","Leadership, Leadership, Leadership...I think is the most important component in changing how, when, and where students learn in K-12 schools.&nbsp; This leadership (at all levels) must begin with a shared vision for student learning, and how technology can be&nbsp;utilized to move towards students begin able to learn anywhere, anytime.&nbsp; This shared vision must be embedded into all aspects of the district and individual schools strategic plans, and be the guiding decision maker&nbsp;when it comes to budgets, teacher professional development, and&nbsp;selection of student resources.&nbsp; Not only must this vision be shared among the district/school leadership, but it must be shared among the teachers, parents, and community stakeholders for it to be effective and successful.&nbsp;-Jerri"
